1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,2,1,1,4,1,1,4,3,3,3,1,1,3,3,3
1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1
3,2,1,1,3,3,3,3,3,3,3,3,3,3,3,3
27,19,16,16,24,22,22,22,15,15,19,12,12,16,12,12
6,6,6,6,6,0,0,6,2,2,3,1,1,6,3,3
12,12,8,8,12,1,1,11,3,3,9,0,0,12,8,8
4,4,2,2,4,1,1,4,1,1,4,0,0,4,3,3
1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1
1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1
7,6,4,4,7,0,0,6,5,5,7,3,3,7,3,3
1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1
1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1
1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0
4,4,2,2,4,1,1,3,1,1,2,0,0,3,1,1
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
7,7,7,7,7,6,6,5,5,5,6,4,4,7,6,6
19,19,11,11,19,10,10,19,18,18,7,3,3,16,14,14
2,2,0,0,2,2,2,1,0,0,2,0,0,2,0,0
2,2,0,0,1,0,0,1,0,0,1,1,1,2,0,0
16,12,0,0,14,0,0,16,1,1,1,0,0,4,0,0
2,2,1,1,2,1,1,2,1,1,2,2,2,2,2,2
1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1
2,2,2,2,2,0,0,2,1,1,2,0,0,2,1,1
11,7,3,3,11,5,5,9,3,3,7,3,3,6,1,1
1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
2,0,0,0,1,0,0,1,0,0,1,0,0,2,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,24,15,15,32,32,32,31,27,27,24,21,21,18,13,13
1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0
3,3,2,2,3,2,2,3,2,2,3,1,1,2,1,1
8,8,7,7,8,0,0,8,4,4,7,4,4,8,8,8
1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1
5,5,5,5,5,5,5,5,3,3,5,5,5,5,3,3
6,4,2,2,6,5,5,6,3,3,2,1,1,5,3,3
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,13,3,2,14,9,9,14,6,6,11,3,3,12,3,3
