5,5,4,4,5,4,4,5,1,1,5,1,1
2,1,1,1,1,0,0,1,0,0,1,1,1
1,0,0,0,0,0,0,0,0,0,1,1,1
3,2,1,1,2,0,0,2,0,0,2,0,0
12,9,6,6,9,6,6,12,8,8,11,9,9
1,1,0,0,1,0,0,1,0,0,1,0,0
4,4,2,2,4,4,4,4,2,2,4,2,2
1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,0,0,1,0,0,2,0,0,2,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0,0,1,0,0,1,1,1,1,1,1
1,1,0,0,1,0,0,1,0,0,1,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,2,2,2,2,2,2,2,2,1,1
1,1,0,0,1,0,0,1,0,0,1,0,0
2,2,0,0,2,0,0,2,2,2,2,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0
7,1,0,0,3,2,2,2,2,2,5,3,3
6,4,4,4,6,2,2,6,4,4,5,3,3
27,15,15,15,15,15,15,17,17,17,18,17,17
6,6,3,3,6,6,6,6,6,6,6,5,5
1,1,0,0,1,0,0,1,0,0,1,0,0
16,15,0,0,16,0,0,14,0,0,13,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1
4,3,2,2,3,3,3,2,2,2,3,2,2
1,0,0,0,0,0,0,1,0,0,1,0,0
3,3,2,2,3,2,2,3,2,2,2,2,2
19,18,15,15,19,17,17,19,15,15,18,14,14
8,8,7,7,8,1,1,8,4,4,8,7,7
1,1,0,0,1,0,0,0,0,0,0,0,0
7,5,5,5,7,7,7,7,3,3,7,4,4
1,1,0,0,1,0,0,1,0,0,1,0,0
7,7,7,7,7,7,7,7,7,7,7,6,6
11,9,3,3,9,4,4,9,2,2,7,3,3
1,1,0,0,1,0,0,1,0,0,1,0,0
14,12,3,2,13,3,2,14,5,4,13,4,3
34,29,18,18,32,18,18,30,23,23,30,26,26
2,1,0,0,1,0,0,1,1,1,2,1,1
